seqnames,start,end,width,strand,source,type,gene_id,gene_type,gene_name,level,tag,hgnc_id,havana_gene,artif_dupl,EntrezID,description,Synonyms,Length,logFC,AveExpr,t,P.Value,adj.P.Val,B,order
chr6,32517353,32530287,12935,-,HAVANA,gene,ENSG00000198502.6,protein_coding,HLA-DRB5,2,NA,HGNC:4953,OTTHUMG00000031027.4,NA,3127,"major histocompatibility complex, class II, DR beta 5",-,12935,0.9807433348664301,9.896571864270056,6.209067917172211,5.1959670856083055e-8,9.00876773302768e-4,8.026603276465648,1
chr3,46370946,46376206,5261,+,HAVANA,gene,ENSG00000160791.14,protein_coding,CCR5,1,NA,HGNC:1606,OTTHUMG00000133481.4,NA,1234,C-C motif chemokine receptor 5 (gene/pseudogene),CC-CKR-5|CCCKR5|CCR-5|CD195|CKR-5|CKR5|CMKBR5|IDDM22,5261,-1.231516199403028,3.584874330049143,-5.759208618760709,2.958390698105352e-7,0.0025646288961875294,6.6004848918299945,2
chr3,196706277,196712250,5974,-,HAVANA,gene,ENSG00000174007.9,protein_coding,CEP19,1,ncRNA_host,HGNC:28209,OTTHUMG00000153933.3,NA,84984,centrosomal protein 19,C3orf34|MOSPGF,5974,-1.1462551402980616,2.639578871669982,-5.477324212508993,8.657437868495349e-7,0.0043543776636040385,5.52658511539512,3
chr17,28335602,28347009,11408,+,HAVANA,gene,ENSG00000109079.10,protein_coding,TNFAIP1,1,NA,HGNC:11894,OTTHUMG00000132501.5,NA,7126,TNF alpha induced protein 1,B12|B61|BTBD34|EDP1|hBACURD2,11408,-1.655286922987488,1.7086670416297627,-5.383133982762059,1.2352684149817623e-6,0.0043543776636040385,5.068871022449266,4
chr10,73423579,73433561,9983,-,HAVANA,gene,ENSG00000166343.10,protein_coding,MSS51,2,NA,HGNC:21000,OTTHUMG00000018464.6,NA,118490,MSS51 mitochondrial translational activator,ZMYND17,9983,-4.199159890293415,-3.117235849374429,-5.3787684382514565,1.2557323980862956e-6,0.0043543776636040385,3.110462810649711,5
chr6,32659467,32668383,8917,-,HAVANA,gene,ENSG00000179344.17,protein_coding,HLA-DQB1,1,overlapping_locus,HGNC:4944,OTTHUMG00000031124.4,NA,3119,"major histocompatibility complex, class II, DQ beta 1",CELIAC1|HLA-DQB|IDDM1,8917,1.743220945237855,8.918292547142553,5.322914806281707,1.548957086222927e-6,0.004475969660155518,4.788713531164318,6
chr3,130678934,130746829,67896,-,HAVANA,gene,ENSG00000196455.8,protein_coding,PIK3R4,2,NA,HGNC:8982,OTTHUMG00000159645.4,NA,30849,phosphoinositide-3-kinase regulatory subunit 4,VPS15|p150,67896,-1.1015167307730493,3.5312807066050236,-5.169400817600424,2.747944268872392e-6,0.0054743966857625295,4.5168766640439575,7
chr1,200623896,200669907,46012,-,HAVANA,gene,ENSG00000118197.14,protein_coding,DDX59,1,NA,HGNC:25360,OTTHUMG00000035725.9,NA,83479,DEAD-box helicase 59,OFD5|ZNHIT5,46012,-0.7889266398611263,3.7526067835504384,-5.1279947588616155,3.2044616975488497e-6,0.0054743966857625295,4.375787234562238,8
chr6,30600413,30618612,18200,-,HAVANA,gene,ENSG00000204569.10,protein_coding,PPP1R10,2,NA,HGNC:9284,OTTHUMG00000031259.3,NA,5514,protein phosphatase 1 regulatory subunit 10,CAT53|FB19|PNUTS|PP1R10|R111|p99,18200,-0.6386018432096474,5.65382173703051,-5.113286961784391,3.3839285005386646e-6,0.0054743966857625295,4.233085905963792,9
chr15,66498015,66524532,26518,-,HAVANA,gene,ENSG00000174444.15,protein_coding,RPL4,1,ncRNA_host,HGNC:10353,OTTHUMG00000133193.5,NA,6124,ribosomal protein L4,L4,26518,0.25776068434197263,9.931293347762336,5.1011688941827185,3.539182755120026e-6,0.0054743966857625295,3.9104641141798107,10
chr7,77793728,77798434,4707,-,HAVANA,gene,ENSG00000135211.6,protein_coding,TMEM60,2,NA,HGNC:21754,OTTHUMG00000130689.3,NA,85025,transmembrane protein 60,C7orf35|DC32,4707,-0.7223284154101197,4.172277328503333,-5.080285067837489,3.823318286638601e-6,0.0054743966857625295,4.210176890503808,11
chr10,43385617,43409186,23570,-,HAVANA,gene,ENSG00000169813.17,protein_coding,HNRNPF,2,retrogene,HGNC:5039,OTTHUMG00000018029.3,NA,3185,heterogeneous nuclear ribonucleoprotein F,HNRPF|OK/SW-cl.23|mcs94-1,23570,-0.5658271503718026,7.366045982972275,-5.061798502234303,4.0934449337217745e-6,0.0054743966857625295,3.941482038764404,12
